,PL,EN
956,['pomyślałem'],"['I', 'thought']"
957,['nogi'],['legs']
958,['org'],['org']
959,['ulicy'],['17330']
960,['matki'],['Mothers']
961,['fbi'],['FBI']
962,['jedź'],['drive']
963,['wojny'],['wars']
964,['ciągu'],['In']
965,['okazji'],['Occasion']
966,['zadzwonię'],"['I', 'will', 'call']"
967,['około'],['around']
968,['ojcze'],['Father']
969,['samym'],['alone']
970,['uważam'],"['I', 'think']"
971,['miłości'],['Love']
972,['mike'],['Mike']
973,['przyszedł'],"['He', 'came']"
974,['tygodniu'],['week']
975,['prawdziwe'],['real']
976,['zadzwoń'],['Call']
977,['widać'],"['You', 'can', 'see']"
978,['myśl'],['Thought']
979,['pozwolić'],['allow']
980,['słyszę'],"['I', 'hear']"
981,['wracać'],"['come', 'back']"
982,['dajcie'],"['Give', 'me']"
983,['historii'],['History']
984,['http'],['http']
985,['zajmę'],"['I', 'will', 'occupy']"
986,['wieku'],['age']
987,['jedynie'],['only']
988,['zamiast'],"['instead', 'of']"
989,['jakiegoś'],['some']
990,['umrzeć'],['die']
991,['wróci'],"['will', 'come', 'back']"
992,['przyjdzie'],"['will', 'come']"
993,['łatwo'],['easily']
994,['siostra'],['sister']
995,['oraz'],['and']
996,['prawdziwy'],['real']
997,['czyż'],['Czyż']
998,['następny'],['next']
999,['proste'],['Simple']
